order_id,customer_id,restaurant_id,delivery_partner_id,order_timestamp,subtotal_amount,discount_amount,delivery_fee,total_amount,is_cod,is_cancelled
ORD202501023439,CUST181110,REST08622,DP05541,2025-01-01 12:00:00,471.62,35.44,30.56,466.74,N,N
ORD202501012051,CUST025572,REST02383,DP08091,2025-01-01 12:00:00,255.68,0.0,27.45,283.13,Y,N
ORD202501019281,CUST179306,REST14069,DP02021,2025-01-01 12:00:00,428.38,0.0,26.23,454.61,N,N
ORD202501000124,CUST191820,REST19745,DP13859,2025-01-01 12:00:00,260.81,0.0,32.75,293.56,N,N
ORD202501006518,CUST033760,REST12962,DP09615,2025-01-01 12:00:00,280.33,0.0,25.57,305.9,N,N
ORD202501018255,CUST011850,REST01307,DP14063,2025-01-01 12:01:00,310.95,0.0,35.05,345.99,Y,N
ORD202501004299,CUST107475,REST12542,DP07728,2025-01-01 12:02:00,206.41,0.0,30.62,237.03,Y,N
ORD202501018036,CUST093042,REST13907,DP01276,2025-01-01 12:03:00,300.3,48.31,31.41,283.4,N,N
ORD202501009329,CUST104825,REST10267,DP03078,2025-01-01 12:04:00,371.6,0.0,34.35,405.95,N,N
ORD202501007498,CUST135654,REST05434,DP11625,2025-01-01 12:06:00,306.23,33.38,20.7,293.55,N,N
ORD202501007724,CUST110825,REST08451,DP03817,2025-01-01 12:06:00,164.43,34.19,40.57,170.81,Y,N
ORD202501002349,CUST181669,REST00225,DP11899,2025-01-01 12:06:00,362.0,0.0,33.33,395.33,N,N
ORD202501000464,CUST024044,REST16733,DP06552,2025-01-01 12:07:00,350.49,0.0,25.52,376.01,Y,N
ORD202501009188,CUST139611,REST13916,DP10285,2025-01-01 12:07:00,432.24,53.75,28.8,407.29,N,N
ORD202501002552,CUST042367,REST09262,DP05758,2025-01-01 12:09:00,296.63,0.0,21.12,317.75,N,N
ORD202501011873,CUST050526,REST19508,,2025-01-01 12:10:00,0.0,0.0,0.0,0.0,N,Y
ORD202501016360,CUST074342,REST13839,DP12003,2025-01-01 12:10:00,302.16,17.86,43.05,327.36,N,N
ORD202501023625,CUST078091,REST12102,DP13191,2025-01-01 12:11:00,282.44,38.74,36.31,280.01,N,N
ORD202501003201,CUST035317,REST03046,DP07869,2025-01-01 12:12:00,301.78,0.0,24.42,326.2,Y,N
ORD202501019777,CUST092566,REST01441,DP13337,2025-01-01 12:12:00,189.6,0.0,27.45,217.05,N,N
ORD202501002874,CUST151345,REST16824,DP13891,2025-01-01 12:13:00,202.94,0.0,22.37,225.31,N,N
ORD202501000545,CUST121709,REST09769,DP14443,2025-01-01 12:13:00,352.01,0.0,21.46,373.47,N,N
ORD202501017575,CUST064832,REST02776,DP13979,2025-01-01 12:14:00,159.06,20.46,42.7,181.3,N,N
ORD202501019797,CUST158904,REST16349,DP01521,2025-01-01 12:15:00,380.92,0.0,43.95,424.87,N,N
ORD202501022002,CUST114265,REST08397,,2025-01-01 12:15:00,0.0,0.0,0.0,0.0,N,Y
ORD202501016346,CUST152528,REST18854,DP09740,2025-01-01 12:16:00,227.37,53.55,38.21,212.04,Y,N
ORD202501021971,CUST001964,REST14036,DP04031,2025-01-01 12:16:00,305.58,0.0,39.18,344.76,N,N
ORD202501003159,CUST144579,REST00857,DP01258,2025-01-01 12:17:00,342.92,0.0,37.34,380.27,N,N
ORD202501006768,CUST062712,REST05538,DP09979,2025-01-01 12:17:00,770.02,108.13,41.81,703.71,N,N
ORD202501014460,CUST116989,REST01359,DP08630,2025-01-01 12:17:00,308.88,0.0,38.29,347.17,Y,N
ORD202501011353,CUST193314,REST11834,DP09746,2025-01-01 12:18:00,337.37,0.0,42.62,379.99,Y,N
ORD202501019978,CUST131834,REST16310,DP09092,2025-01-01 12:19:00,393.75,0.0,25.73,419.48,N,N
ORD202501006331,CUST077846,REST03421,DP03077,2025-01-01 12:19:00,380.71,0.0,32.4,413.1,Y,N
ORD202501023947,CUST169512,REST15674,DP08695,2025-01-01 12:20:00,221.65,0.0,34.31,255.95,N,N
ORD202501018102,CUST015556,REST14521,DP09794,2025-01-01 12:20:00,278.23,15.32,44.24,307.15,N,N
ORD202501008563,CUST189318,REST05846,DP02363,2025-01-01 12:20:00,869.15,0.0,38.8,907.95,N,N
ORD202501022124,CUST082437,REST02134,DP02333,2025-01-01 12:20:00,297.21,0.0,27.66,324.86,Y,N
ORD202501008903,CUST035954,REST19821,DP02395,2025-01-01 12:22:00,265.64,0.0,41.22,306.86,Y,N
ORD202501008565,CUST094263,REST18077,DP11158,2025-01-01 12:22:00,369.25,0.0,28.07,397.32,Y,N
ORD202501016944,CUST043597,REST17055,DP04968,2025-01-01 12:22:00,429.51,0.0,34.34,463.84,N,N
ORD202501023337,CUST026932,REST05332,DP02663,2025-01-01 12:22:00,158.39,39.37,31.64,150.65,N,N
ORD202501021890,CUST137388,REST19428,DP01370,2025-01-01 12:24:00,331.86,18.03,24.7,338.53,N,N
ORD202501017303,CUST096187,REST00617,DP11740,2025-01-01 12:26:00,367.65,42.64,22.86,347.88,Y,N
ORD202501020906,CUST050077,REST11164,DP02710,2025-01-01 12:27:00,543.57,128.46,22.69,437.79,N,N
ORD202501019802,CUST119533,REST02780,DP07695,2025-01-01 12:27:00,383.28,85.61,44.86,342.52,Y,N
ORD202501003553,CUST066978,REST11743,DP08694,2025-01-01 12:27:00,359.45,0.0,30.08,389.52,N,N
ORD202501022663,CUST175483,REST16919,DP12185,2025-01-01 12:28:00,305.09,20.81,36.91,321.19,N,N
ORD202501015020,CUST010223,REST03730,DP05973,2025-01-01 12:28:00,390.12,44.66,43.9,389.35,N,N
ORD202501001438,CUST113299,REST10211,DP12739,2025-01-01 12:28:00,365.14,0.0,27.43,392.57,N,N
ORD202501007454,CUST116999,REST03446,DP10806,2025-01-01 12:29:00,519.01,53.06,36.83,502.77,N,N
ORD202501012168,CUST119646,REST12616,,2025-01-01 12:29:00,0.0,0.0,0.0,0.0,N,Y
ORD202501006871,CUST143266,REST12873,DP04226,2025-01-01 12:30:00,372.13,0.0,36.63,408.76,N,N
ORD202501014844,CUST084600,REST16740,DP07785,2025-01-01 12:30:00,462.3,0.0,31.8,494.1,Y,N
ORD202501019834,CUST079774,REST02799,DP14836,2025-01-01 12:32:00,279.77,0.0,36.48,316.25,N,N
ORD202501023485,CUST056936,REST03176,,2025-01-01 12:32:00,0.0,0.0,0.0,0.0,N,Y
ORD202501000377,CUST128004,REST02138,DP06599,2025-01-01 12:32:00,281.28,0.0,23.74,305.02,N,N
ORD202501009545,CUST131436,REST03622,DP09098,2025-01-01 12:32:00,359.41,0.0,34.79,394.2,Y,N
ORD202501000523,CUST195834,REST10055,,2025-01-01 12:33:00,0.0,0.0,0.0,0.0,N,Y
ORD202501008435,CUST190814,REST18615,DP09559,2025-01-01 12:36:00,397.47,24.83,40.59,413.22,Y,N
